Unique Category ID,Parent Category Name,Georgian Parent Category Name,Parent Category Sort Order,Parent Category Type,Unique Child Category ID, Child Category Name,Georgian Child Category Name,Child Category Sort Order,Child Category Type,Type,"Exists Question
(must use unique # of reach question)",Questions to show if Exists (use # from exists question column),Unique Question Id,Question,Georgian Question,Question Sort Order,Validation Equation,Georgian Validation Equation,Evidence is Angle?,Evidence 1,Geogian Evidence 1,Evidence 2,Geogian Evidence 2,Evidence 3,Geogian Evidence 3,Venue,Domestic Legal Requirement,Convention Category,Reference,Reference Georgian,Help Text,Help Text Georgian
2,Accessibility Services,,2,common,,,,,,"b,m,s",,,11,Seating area has enough space to allow for maneuvering and orientation,,9,,,,Area (sq m),სივრცე (კვ. მ),,,,,,,Physical environment/Facilities,,,,
2,Accessibility Services,,2,common,,,,,,m,,,12,Height of tables/reception desk is adequate,,10,>0.67m and <0.80m,>0.67მ და <0.80მ,,Height (m),სიმაღლე (მ),,,,,,1,Physical environment/Facilities,Article 3(9) of Accessibility Standards,,,
2,Accessibility Services,,2,common,,,,,,"b,m,s",,,13,There is enough space in front of the reception desk/table to allow for maneuvering and orientation,,11,,,,Area (sq m),სივრცე (კვ. მ),,,,,,1,Physical environment/Facilities,Article 3(9) of Accessibility Standards,,,
2,Accessibility Services,,2,common,,,,,,m,,,14,Main counter has a fold-down shelf at adequate height for wheelchairs,,12,>0.67m and <0.80m,>0.67მ და <0.80მ,,Height (m),სიმაღლე (მ),,,,,,1,Physical environment/Facilities, Article 3(9) of Accessibility Standards,,,
2,Accessibility Services,,2,common,,,,,,"b,s",3,,15,There are informational signs in the place,,13,,,,,,,,,,,,,,,,
2,Accessibility Services,,2,common,,,,,,s,,3,16, Signs presented in large text size (approx. 24 point font),,14,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,s,,3,17, Signs use high contrast colors for text and background,,15,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,3,18, Signs are placed at an adequate height ,,16,<1.8m,<1.8მ,,Height (m),სიმაღლე (მ),,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,3,19,Signs have Braille,,17,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,s,,,20, Key documents are presented in large text size (approx. 24 point font),,18,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,s,,,21,All documents are presented in large text size (approx. 24 point font),,19,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,,22, Key documents are available in Braille,,20,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,,23,All documents are available in Braille,,21,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,,24, Key documents are avaible in an audible format,,22,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,,25,All documents are avaible in an audible format,,23,,,,,,,,,,,,Information and Communication,,,,
3,Public Transportation ,,3,common,,,,,,"b,d,h,m,s",,,26,Public transport stop is located close to the place,,1,,,,Distance (m),,,,,,,1,Transportation,,,,
3,Public Transportation,,3,common,,,,,,"b,d,h,m,s",,,27,Stop is accessible,,2,,,,,,,,,,,,Transportation,,,,
3,Public Transportation,,3,common,,,,,,"b,d,h,m,s",,,28,Accessible transport service is available at the stop,,3,,,,,,,,,,,,Transportation,,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",4,,29,The place has a parking area,,1,,,,,,,,,,,,Physical environment/Facilities,,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",5,4,30, There is a designated parking or drop off area for people with disabilities,,2,,,,Number (#),,,,,,,1,Physical environment/Facilities,Article 31(1) of Accessibility Standards,,Please enter the number of designated parking spaces,
4,Parking,,4,common,,,,,,"b,d,h,m,s",6,5,31,There is a sign that designates the spot as reserved for people with disabilities,,3,,,,,,,,,,,1,Physical environment/Facilities,Article 31(6) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",,6,32,The height of the sign is adequate,,4,>1.2m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 31(6) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",,4,33,The designated parking or drop-off area is free of unauthorized cars,,5,,,,,,,,,,,,Physical environment/Facilities,,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",,4,34,The designated parking or drop-off area is free of barriers,,6,,,,,,,,,,,,Physical environment/Facilities,,,,
4,Parking,,4,common,,,,,,"b,m,s",,4,35,The width of the parking space is adequate,,7,>3.5m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 31(7) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,"b,m,s",,4,36,The distance between parking spaces is adequate,,8,>1.5m,,,Distance (m),,,,,,,1,Physical environment/Facilities,Article 31(7) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",,4,37,"The surface of the designated parking area is firm, level, slip-resistant ",,9,,,,,,,,,,,1,Physical environment/Facilities,Article 31(8) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,m,,4,38, There is an accessible route from the parking space to the entrance of the place,,10,,,,,,,,,,,1,Physical environment/Facilities,Article 31(8) of Accessibility Standards,,,
4,Parking,,4,common,,,,,,"b,d,h,m,s",,4,39, The designated parking or drop off area is located at an adequate distance from the entrance,,11,<50m,,,Distance (m),,,,,,,,Physical environment/Facilities,Article 31(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,,,,,,"b,d,h,m,s",,,40,The pathway is free of barriers,,1,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,,,,,,"b,d,h,m,s",,,41,"The surface of the pathway is firm, level, slip-resistant ",,2,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,,,,,,"b,m,s",,,42, The pathway width is adequate ,,3,>0.90m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 30(13) of Accessibility Standards,,,
5,Outside Pathways,,5,common,,,,,,"b,d,h,m,s",68,,43,A resting area with seating exists ,,4,,,,,,,,,,,1,Physical environment/Facilities,Article (3) (1) of accessibility standards,,,
5,Outside Pathways,,5,common,,,,,,"b,d,h,m,s",,68,44,There is a resting area every 400 meters,,5,,,,,,,,,,,,,,,,
5,Outside Pathways,,5,common,,,,,,"b,m,s",,,45,The width of the area in front of benches is adequate,,6,>1.5m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 30(12) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,m,s",7,,46,The pathway has stairs,,7,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,47,The path to the stairs is free of barriers,,8,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,48,The stairs are free of barriers,,9,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,s",,7,49,Width of platform in front of stairs is adequate,,10,>1.5m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,50,"The surface of the stairs is firm, level, slip-resistant ",,11,,,,,,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",18,7,51, Stairs have continuous handrails on both sides,,12,,,,,,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,s,,18,52," Handrails are painted in a color that contrasts from surroundings (wall, stairs, etc)",,13,,,,,,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,18,53,Handrails extend past the end of the stairs,,14,0.3m,,,Length (m),,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,18,54,Height of handrails is adequate,,15,0.9m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 6(3) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,55, Height of all steps is the same ,,16,,,,,,,,,,,1,Physical environment/Facilities,"Article 3(4), 6(3) of Accessibility Standards",,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,56,Height of steps is adequate,,17,<0.12m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,57,Depth of steps is adequate ,,18,>0.4m,,,Depth (m),,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,58,Step edges are rounded,,19,,,,,,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,d,h,s",,7,59,Length of step edges is adequate,,20,1cm,,,Length (cm),,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,s,,7,60,The top and and bottom of staircase are marked with a stripe of bright paint,,21,,,,,,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,"b,s",,7,61,The top and bottom of staircase have a tactile line or other indicator,,22,,,,,,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,s,,7,62,Stairwell is well-lighted,,23,,,,,,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,m,8,7,63,The pathway has a stair lift,,24,,,,,,,,,,,1,Physical environment/Facilities,Article 7(1) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,m,,8,64,The stair lift functions,,25,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,m,,8,65,The stair lift can be operated and used independently,,26,,,,,,,,,,,1,Physical environment/Facilities,Article 7(1) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,m,,8,66,The width of the stair lift is adequate,,27,>0.90m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 7(7) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5a,Stairs,,1,common,m,,8,67,The depth of the stair lift is adequate,,28,>1.2m,,,Depth (m),,,,,,,1,Physical environment/Facilities,Article 7(7) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,"m,s",9,,68,The pathway has a ramp,,29,,,,,,,,,,,,Physical environment/Facilities,,,"An answer of ""not relevant"" means that a ramp is not needed.",
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,69,The path to the ramp is accessible ,,30,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,70,The path to the ramp is free of barriers,,31,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,71,The ramp is free of barriers,,32,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,"m,s",,9,72,Ramp is well-lighted,,33,,,,,,,,,,,1,Physical environment/Facilities,Article 3(3) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,73,The slope of the ramp is adequate ,,34,<6%,,1,Height (m),,Depth (m),,Angle (Degrees),,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,74,"The surface of the ramp is firm, level, slip-resistant ",,35,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,"m,s",,9,75,The width of the ramp is adequate,,36,>1.0m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 5(9) of Accesibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,10,9,76, Ramp has continuous handrails on both sides,,37,,,,,,,,,,,1,Physical environment/Facilities,Article 5(9) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,77,Height of upper bar of handrail is adequate,,38,0.9m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 5(6) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,78,Height of lower bar of handrail is adequate,,39,0.7m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 5(6) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,79,Distance between vertical bars on handrail is adequate,,40,0.5m,,,Distance (m),,,,,,,1,Physical environment/Facilities,Article 5(6) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,80,Ramp handrails extend past the end of the ramp,,41,>0.3m,,,Length (m),,,,,,,1,Physical environment/Facilities,Article 5(9) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,81,Edges of ramp handrails are directed downward,,42,,,,,,,,,,,1,Physical environment/Facilities,Article 5(9) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,10,82,Upper and lower handrail bars are connected,,43,,,,,,,,,,,1,Physical environment/Facilities,Article 5(9) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,83,Ramp has edge protection,,44,0.10m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 5(5) of Accessibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,84, Ramp is sheltered from weather,,45,,,,,,,,,,,1,Physical environment/Facilities,Article(3)(3),,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,85, Width of flat pathway at the top and bottom of ramp is adequate,,46,>1.0m ,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 5(3) of Accesibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,9,86,Length of flat pathway at the top and bottom of ramp is adequate,,47,>1.5m,,,Length (m),,,,,,,1,Physical environment/Facilities,Article 5(3) of Accesibility Standards,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,11,9,87,"Ramp has rest platform (only needed if ramp is longer than 8m, or if the ramp changes directions)",,48,,,,,,,,,,,1,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,11,88,Width of rest platform is adequate,,49,>1.0m ,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 5(3) of Accesibility Standards. ,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,11,89,Length of rest platform is adequate,,50,>1.5m,,,Length (m),,,,,,,1,Physical environment/Facilities,Article 5(3) of Accesibility Standards. ,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,m,,11,90,Rest platform exists every 6m,,51,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,5b,Ramps,,2,common,s,,9,91,The top and bottom of the ramp are marked with stripes of bright paint,,52,,,,,,,,,,,,Physical environment/Facilities,,,,
5,Outside Pathways,,5,common,,,,,,m,,,92,Height of pay phones is adequate,,53,0.80m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 3(11) of Accessibility Standards,,,
5,Outside Pathways,,5,common,,,,,,m,,,93,Height of letter opening on mailboxes is adequate,,54,1.3m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 30(6) of Accessibility Standards,,,
5,Outside Pathways,,5,common,,,,,,m,,,94,At least one drinking fountain is at a low height for wheelchair users,,55,,,,Number (#),,,,,,,1,Physical environment/Facilities,Article 30(14) of Accessibility Standards,,,
6,Entrances,,6,common,,,,,,m,,,95,Path to primary entrance is accessible,,1,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,d,h,m,s",,,96,Path to primary entrance is free of barriers,,2,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,d,h,m,s",,,97,The primary entrance has a sign indicating that it is accessible,,3,,,,,,,,,,,1,Physical environment/Facilities,Article 30(12) of Accessibility Standards,,,
6,Entrances,,6,common,,,,,,"b,d,h,m,s",12,,98,The place has more than one entrance,,4,,,,,,,,,,,,,,,,
6,Entrances,,6,common,,,,,,m,,12,99,Path to secondary entrance is accessible,,5,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,d,h,m,s",,12,100,Path to secondary entrance is free of barriers,,6,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,d,h,m,s",,12,101,Main entrance has sign indicating direction of accessible secondary entrance ,,7,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,s,,12,102,The sign uses high contrast colors,,8,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,s",,12,103,The sign has Braille,,9,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,,,,,,"b,s",,,104, A tactile map of the place is available,,10,,,,,,,,,,,,Information and Communication,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,m,,,105,The path to the door is accessible,,11,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,106,The door is free of barriers,,12,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,m.s",,,107,"The door does not have spring hinges (i.e., is not self-closing)",,13,,,,,,,,,,,1,Physical environment/Facilities,Article 9(1) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,m.s",13,,108, There is a revolving door or turnstile,,14,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,m.s",,13,109,There is an adjacent door in addition to the revolving door or turnstile,,15,,,,,,,,,,,1,Physical environment/Facilities,Article 9(2) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,s,,,110,The color of the door contrasts from the color of the wall,,16,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,111,Doorway is free of barriers,,17,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,m,s",,,112,Width of doorway is adequate,,18,0.90m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 9(1) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,113,Height of doorway is adequate ,,19,2.10m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 9(1) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,114, The path through the doorway is flat and level ,,20,,,,,,,,,,,1,Physical environment/Facilities,Article3(6) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,115,Height of threshold is adequate,,21,<2cm,,,Height (cm),,,,,,,1,Physical environment/Facilities,Article3(6) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,m,,,116,Height of door handle is adequate,,22,<0.85m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 9(1) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,m,,,117,Diameter of door handle is adequate,,23,>3cm and <5cm,,,Diameter (cm),,,,,,,1,Physical environment/Facilities,Article 5(7) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,118, User can open door easily with one hand and little force,,24,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,119,Door is automatic,,25,,,,,,,,,,,1,Physical environment/Facilities,Article 3(6) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,m,s",14,,120, Door has an automatic opener,,26,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,m,,14,121,Height of automatic door opener button is adequate,,27,1.0m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 3(10) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,s,,14,122, The color of the automatic door opener button contrasts with the color of the frame,,28,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,s",,14,123, Automatic door opener button has Braille,,29,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,124,"Door has reinforced, shock-proof glass",,30,,,,,,,,,,,1,Physical environment/Facilities,"Article 3(6), 9(3) of Accessibility Standards",,,
6,Entrances,,6,common,6a,Doorways,,1,common,s,,,125,Glass doors are painted in a color that contrasts from the walls,,31,,,,,,,,,,,1,Physical environment/Facilities,Article 9(5) of Accessibility Standards,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,126,The door has handrails,,32,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6a,Doorways,,1,common,"b,d,h,m,s",,,127,The walls in the foyer have handrails,,33,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,m,s",15,,128,The entrance has stairs ,,34,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,129,Path to stairs is free of permanent barriers,,35,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,130,Path to stairs is free of temporary barriers,,36,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,131,Stairs are free of permanent barriers,,37,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,132, Stairs are free of temporary barriers,,38,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,s",,15,133,Width of platform in front of stairs is adequate,,39,>1.5m,,,Width (m),,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,134,Surface of stairs is firm and level,,40,,,,,,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,135,Suface of stairs is slip-resistant,,41,,,,,,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",16,15,136, The stairs have continuous handrails on both sides,,42,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,s,,16,137," Handrail is painted in color that contrasts from surroundings (wall, stairs, etc)",,43,,,,,,,,,,,,Physical environment/Facilities,,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,16,138,Height of handrails is adequate,,44,0.9m,,,Height (m),,,,,,,1,Physical environment/Facilities,"Article 3(4), 6(3) of Accessibility Standards",,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,16,139,Handrails extend past the end of the stairs,,45,0.3m,,,Length (m),,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,140, Height of all steps is the same ,,46,,,,,,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,141,Depth of all steps is the same,,47,,,,,,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,142, Depth of steps is adequate ,,48,>0.40m,,,Depth (m),,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,143,Height of steps is adequate,,49,<0.12m,,,Height (m),,,,,,,1,Physical environment/Facilities,Article 6(2) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,144,Step edges are rounded,,50,,,,,,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,"b,d,h,s",,15,145,Length of step edges is adequate,,51,1cm,,,Length (cm),,,,,,,1,Physical environment/Facilities,Article 3(4) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,s,,15,146,The top and and bottom of staircase are marked with a stripe of bright paint,,52,,,,,,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
6,Entrances,,6,common,6b,Stairs,,2,common,b.s,,15,147,The top and bottom of staircase have a tactile line or other indicator,,53,,,,,,,,,,,1,Physical environment/Facilities,Article 6(1) of Accessibility Standards,,,
